databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
utax	200sp	dataset_1	set8	V3V4	powerlaw	mothur	3.64570613367	1.76400102023	1.54379512997	1.31878061802	0.599033714258	-15	1057
utax	200sp	dataset_1	set9	V3V4	powerlaw	mothur	2.77885155359	1.60748735157	1.48465048192	1.41162050452	0.824589973731	-13	1367
utax	200sp	dataset_1	set10	V3V4	powerlaw	mothur	6.86867524867	5.31876915554	5.12739539929	4.88639250481	4.0566074095	-13	1769
utax	200sp	dataset_2	set1	V3V4	powerlaw	mothur	2.36374828946	1.5795352386	1.40624144611	1.23655514806	0.903167437916	-4	1503
utax	200sp	dataset_2	set2	V3V4	powerlaw	mothur	1.60083263396	1.22118004465	1.07300116141	0.905430641739	0.518727262775	-4	1933
utax	200sp	dataset_2	set3	V3V4	powerlaw	mothur	2.45038654448	1.61101916754	1.48002960297	1.39808318844	0.898048384964	-4	1578
utax	200sp	dataset_2	set4	V3V4	powerlaw	mothur	1.36042644695	1.09436391684	0.97674440792	0.878920025338	0.641153265876	-4	1229
utax	200sp	dataset_2	set5	V3V4	powerlaw	mothur	1.79550768865	1.48728488685	1.37602133926	1.23701383886	1.06605321822	-4	1977
utax	200sp	dataset_2	set6	V3V4	powerlaw	mothur	1.99415923706	1.18567225937	0.953258515152	0.818171940939	0.314061714354	-4	2661
utax	200sp	dataset_2	set7	V3V4	powerlaw	mothur	2.18668560538	1.29183252303	1.06441392791	0.96813309346	0.793158592398	-4	1302
utax	200sp	dataset_2	set8	V3V4	powerlaw	mothur	2.10490408192	1.63414553018	1.39151522851	1.3429185382	0.842013475881	-4	1297
utax	200sp	dataset_2	set9	V3V4	powerlaw	mothur	2.45859250415	1.8350472444	1.58458335286	1.09268538364	0.846950208225	-4	1663
utax	200sp	dataset_2	set10	V3V4	powerlaw	mothur	2.17571695248	1.34099466883	1.19462624675	1.1276886793	0.699311019414	-4	1197
utax	200sp	dataset_3	set1	V3V4	powerlaw	mothur	5.22070949861	4.75182490852	3.74127322364	2.69971603635	1.71781370346	-4	1292
utax	200sp	dataset_3	set2	V3V4	powerlaw	mothur	1.92548216524	1.4374734733	1.14243715264	0.954326157223	0.462268289074	-4	2001
utax	200sp	dataset_3	set3	V3V4	powerlaw	mothur	2.2459839993	1.79345847278	1.6319232523	1.60345622773	1.14650324005	-4	1573
utax	200sp	dataset_3	set4	V3V4	powerlaw	mothur	2.79937514005	1.91602790135	1.62691289091	1.54470871762	1.02107106961	-4	1494
utax	200sp	dataset_3	set5	V3V4	powerlaw	mothur	5.56768180056	1.54826216732	1.30867933663	1.23940558335	1.01149645244	-4	1394
utax	200sp	dataset_3	set6	V3V4	powerlaw	mothur	3.8592229825	1.1978156532	1.0544854414	0.911020645561	0.436528555026	-4	1706
utax	200sp	dataset_3	set7	V3V4	powerlaw	mothur	2.44461898085	2.00376965248	1.75937999686	1.61475569158	1.15502806918	-4	1919
utax	200sp	dataset_3	set8	V3V4	powerlaw	mothur	2.85700174485	2.29836740695	1.88568057768	1.16594725659	0.942791794892	-5	1737
utax	200sp	dataset_3	set9	V3V4	powerlaw	mothur	2.45323194468	1.89155505437	1.73118709115	1.56872062263	0.438285222578	-4	1692
utax	200sp	dataset_3	set10	V3V4	powerlaw	mothur	1.80320281208	1.47561078302	1.14789493421	0.780595904333	0.421123569683	-4	1598
utax	200sp	dataset_4	set1	V3V4	powerlaw	mothur	10.665459113	10.0513181941	9.89040049018	9.53787983671	8.79808740464	-6	1235
utax	200sp	dataset_4	set2	V3V4	powerlaw	mothur	5.30977551753	1.85025386516	1.74456732546	1.66890827981	1.23733140659	-7	1190
utax	200sp	dataset_4	set3	V3V4	powerlaw	mothur	2.79763784081	1.91462940171	1.64529994035	1.55422801224	1.27414549685	-5	1258
utax	200sp	dataset_4	set4	V3V4	powerlaw	mothur	2.99815462329	2.58582039927	2.38280642652	2.21428617699	1.58508739113	-6	1524
utax	200sp	dataset_4	set5	V3V4	powerlaw	mothur	4.44244401142	1.40649263348	1.29681178938	1.11147085825	0.758797820453	-5	1610
utax	200sp	dataset_4	set6	V3V4	powerlaw	mothur	3.06991341171	2.08814055332	1.88148192762	1.59868986362	1.30423851768	-6	2161
utax	200sp	dataset_4	set7	V3V4	powerlaw	mothur	3.30928819474	2.31006804164	2.0128793361	1.9029432648	1.89401809427	-6	1120
utax	200sp	dataset_4	set8	V3V4	powerlaw	mothur	3.58765465711	1.67545366931	1.54404962268	1.26760592992	1.17779036148	-7	1703
utax	200sp	dataset_4	set9	V3V4	powerlaw	mothur	2.13899893873	1.41507960041	1.25770263718	1.08388759493	0.74390347422	-7	1554
utax	200sp	dataset_4	set10	V3V4	powerlaw	mothur	4.32936157049	3.69102721455	3.39531716471	3.33316344619	3.08501239644	-5	1204
utax	200sp	dataset_5	set1	V3V4	powerlaw	mothur	2.1027567434	1.39353863204	1.27140907266	1.18805704448	0.638156106657	-8	2189
utax	200sp	dataset_5	set2	V3V4	powerlaw	mothur	3.27612355427	1.77999574393	1.62647260166	1.52412626016	0.824606113196	-8	1723
utax	200sp	dataset_5	set3	V3V4	powerlaw	mothur	2.58645020923	2.06011089199	1.83615067591	1.73055880327	1.13381253085	-8	1364
utax	200sp	dataset_5	set4	V3V4	powerlaw	mothur	2.19053285462	1.59176983881	1.39427733968	1.29757780231	1.22892557526	-8	1192
utax	200sp	dataset_5	set5	V3V4	powerlaw	mothur	2.78832775265	2.12820753034	1.9266452409	1.84255367559	1.54631514723	-8	1541
