databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Species	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
silva	100sp	dataset_4	set1	V3V4	powerlaw	mothur	4.92517062559	2.54060616595	1.26999910315	1.12546337044	1.06794666392	0.694244495966	-4	849
silva	100sp	dataset_4	set2	V3V4	powerlaw	mothur	3.23352718867	1.19081236484	0.992017262996	0.921959457496	0.890327511314	0.777050387553	-4	1327
silva	100sp	dataset_4	set3	V3V4	powerlaw	mothur	5.42273065393	3.57405975218	1.90660792145	1.86745327444	1.82687183528	1.10221580215	-4	1071
silva	100sp	dataset_4	set4	V3V4	powerlaw	mothur	3.2650692996	0.990819154528	0.790335162748	0.760629275964	0.671861688051	0.539126382589	-4	1473
silva	100sp	dataset_4	set5	V3V4	powerlaw	mothur	2.83610579288	1.22305589786	0.860588648505	0.834038663011	0.826766893459	0.745229236383	-4	1016
silva	100sp	dataset_4	set6	V3V4	powerlaw	mothur	2.89160571272	1.52173757796	1.31498589332	1.25204505625	1.23407184753	0.796490963649	-4	1048
silva	100sp	dataset_4	set7	V3V4	powerlaw	mothur	12.2805786835	1.70745913892	1.55744070946	1.4813499372	1.34898526238	1.27297932831	-4	1308
silva	100sp	dataset_4	set8	V3V4	powerlaw	mothur	11.5675586022	1.67329815094	1.46821959795	1.40864871281	1.35824541303	1.24207643137	-4	1298
silva	100sp	dataset_4	set9	V3V4	powerlaw	mothur	7.29293578167	1.90173309288	1.15834218444	1.14168887894	1.13280968987	1.03589131236	-4	1228
silva	100sp	dataset_4	set10	V3V4	powerlaw	mothur	6.87432905859	1.52033011139	0.898682057204	0.876407612677	0.751238313243	0.653838333771	-4	1200
silva	100sp	dataset_5	set1	V3V4	powerlaw	mothur	2.82449174674	1.08197625573	0.958088508134	0.911791750924	0.844282095307	0.645669326262	-8	1227
silva	100sp	dataset_5	set2	V3V4	powerlaw	mothur	11.1285628783	1.13023716238	1.04268195153	0.972342566718	0.774364556615	0.651889195556	-8	1282
silva	100sp	dataset_5	set3	V3V4	powerlaw	mothur	2.91886590245	1.20400795858	1.12794165166	1.0805878584	0.963397762477	0.826000913901	-8	1082
silva	100sp	dataset_5	set4	V3V4	powerlaw	mothur	4.03918396019	1.0925284817	1.03843989583	0.906895550327	0.869191730486	0.669232839342	-8	1459
silva	100sp	dataset_5	set5	V3V4	powerlaw	mothur	3.37928208283	1.82098793625	1.76451776796	1.6963390276	1.59628503488	1.50508472841	-8	1187
silva	100sp	dataset_5	set6	V3V4	powerlaw	mothur	2.24364609311	1.09675038628	0.969317032093	0.94901637408	0.89921241745	0.657391477496	-8	958
silva	100sp	dataset_5	set7	V3V4	powerlaw	mothur	2.74866525645	1.86877620206	1.29009406571	1.09075433445	0.773736908857	0.707039876145	-8	853
silva	100sp	dataset_5	set8	V3V4	powerlaw	mothur	3.83464145972	1.1273717896	1.0454083985	0.983440656447	0.963397467747	0.533180764307	-8	1083
silva	100sp	dataset_5	set9	V3V4	powerlaw	mothur	5.30846376875	1.385868155	1.2204594076	1.1664784457	1.13976838332	0.959875528639	-8	1420
silva	100sp	dataset_5	set10	V3V4	powerlaw	mothur	2.68873140808	0.693848939619	0.643841762693	0.593844000785	0.56052585125	0.401496773041	-8	1370
silva	200sp	dataset_1	set1	V3V4	powerlaw	mothur	7.70586346478	1.90454255102	1.59418965963	1.49941813626	1.37892758212	0.928449487025	-20	1568
silva	200sp	dataset_1	set2	V3V4	powerlaw	mothur	5.74764045542	2.34844057306	2.14245200711	2.04376460591	1.91925377265	0.966286137651	-20	1270
silva	200sp	dataset_1	set3	V3V4	powerlaw	mothur	9.78849632736	1.97887086325	1.49383155041	1.39048889266	1.36130834987	1.02271154077	-20	1561
silva	200sp	dataset_1	set4	V3V4	powerlaw	mothur	6.06305066158	2.13597632061	1.46509990065	1.35853880017	1.3022000399	0.877169862345	-20	1309
silva	200sp	dataset_1	set5	V3V4	powerlaw	mothur	5.26702732498	1.70882144799	1.4502706091	1.38530055774	1.12191994963	0.736113344744	-20	2665
silva	200sp	dataset_1	set6	V3V4	powerlaw	mothur	7.73994394859	2.58410944191	2.21285938947	1.803093467	1.69901510832	0.951672021617	-20	1479
silva	200sp	dataset_1	set7	V3V4	powerlaw	mothur	7.05233577595	1.35263445214	1.12294625016	1.03232213437	0.95943364362	0.853717194146	-20	1514
silva	200sp	dataset_1	set8	V3V4	powerlaw	mothur	7.41699912708	1.77958907165	1.46340425039	1.3831827021	1.27840296965	1.07918133478	-20	1724
silva	200sp	dataset_1	set9	V3V4	powerlaw	mothur	4.66190737498	1.71444585665	1.4180106056	1.21396298351	1.07975837993	0.439909343326	-20	1612
silva	200sp	dataset_1	set10	V3V4	powerlaw	mothur	5.60149279542	1.5139728694	1.35933165812	1.20642466189	0.978113293045	0.545363386951	-20	1586
silva	200sp	dataset_2	set1	V3V4	powerlaw	mothur	4.77444864428	2.47178540177	1.67953897926	1.57531033393	1.46054903444	0.927409403185	-19	1071
silva	200sp	dataset_2	set2	V3V4	powerlaw	mothur	5.14134790674	3.69944712409	2.48080721482	2.27792117537	2.16257350288	0.849805983736	-20	1462
silva	200sp	dataset_2	set3	V3V4	powerlaw	mothur	6.34662856364	4.45884684785	1.86792798307	1.65533701199	1.43811381409	1.28203134063	-20	1816
silva	200sp	dataset_2	set4	V3V4	powerlaw	mothur	7.09439020778	1.95189099086	1.44451988152	1.28553540037	1.19858354712	0.783804407787	-19	1798
silva	200sp	dataset_2	set5	V3V4	powerlaw	mothur	5.78918604788	2.91873795243	1.98756751062	1.80435374804	1.72120368124	1.4158855792	-19	1449
silva	200sp	dataset_2	set6	V3V4	powerlaw	mothur	6.70753157783	4.3870468984	1.76777750387	1.57347864684	1.45826550497	1.10335121181	-19	1267
silva	200sp	dataset_2	set7	V3V4	powerlaw	mothur	6.15454291534	2.36736499157	1.53928480767	1.34442241562	1.26581774788	0.813624064515	-20	1618
silva	200sp	dataset_2	set8	V3V4	powerlaw	mothur	4.42993379476	2.08068141001	1.47530901535	1.2983891999	1.06786077321	0.850264057591	-19	1956
silva	200sp	dataset_2	set9	V3V4	powerlaw	mothur	8.04159498279	5.70873696763	2.16016658482	2.04953851142	1.70603167169	1.38496431654	-19	1611
silva	200sp	dataset_2	set10	V3V4	powerlaw	mothur	6.4972026872	5.29266288787	1.70790168393	1.49735422768	1.28407117219	0.56106719809	-19	1626
silva	200sp	dataset_3	set1	V3V4	powerlaw	mothur	7.52445285131	3.41771923949	1.62089147268	1.48879200597	1.45320881122	0.900269166354	-30	1586
silva	200sp	dataset_3	set2	V3V4	powerlaw	mothur	9.37741628448	3.1959534375	1.80152071487	1.7026401749	1.34411116261	1.02405836755	-29	1879
silva	200sp	dataset_3	set3	V3V4	powerlaw	mothur	6.75829549465	3.23021592815	1.76811775285	1.65023455713	1.35785972245	1.18087682582	-30	1730
silva	200sp	dataset_3	set4	V3V4	powerlaw	mothur	6.51237583112	3.00107633161	1.45466867449	1.38465068356	1.16915252404	1.02493397568	-31	1775
silva	200sp	dataset_3	set5	V3V4	powerlaw	mothur	11.2539347587	2.66368472055	1.65102383597	1.56833033324	1.25169563018	0.765865891337	-30	1621
silva	200sp	dataset_3	set6	V3V4	powerlaw	mothur	7.83743846387	3.57233083298	1.59312836505	1.48006200164	1.21904110492	0.74468576658	-30	1877
silva	200sp	dataset_3	set7	V3V4	powerlaw	mothur	9.34560395856	5.56057393022	4.02068566418	3.88231670532	3.79525893875	1.41726774336	-31	1521
silva	200sp	dataset_3	set8	V3V4	powerlaw	mothur	8.71295945988	4.81292023045	1.2927106615	1.21324891457	1.08906471028	0.690630524458	-31	1480
silva	200sp	dataset_3	set9	V3V4	powerlaw	mothur	7.56298444578	3.48619115362	1.92282425414	1.77823350677	1.63096635431	1.17449978387	-30	1491
silva	200sp	dataset_3	set10	V3V4	powerlaw	mothur	10.4984824213	3.26004721185	2.21034160776	2.15796743449	1.62460366218	1.43835678743	-30	1102
